Model,TDP (Watts)
GeForce GTX 1080 Max-Q,
Geforce GTX 1630,75.0
GeForce GTX 1650 (Laptop),50.0
GeForce GTX 1650 Max-Q,30.0
GeForce GTX 1650 Ti Max-Q,35.0
GeForce GTX 1650 Ti,55.0
GeForce GTX 1660 (Laptop),
GeForce GTX 1660 Ti Max-Q,60.0
GeForce GTX 1660 Ti (Laptop),80.0
GeForce RTX 2050,30.0
GeForce RTX 2060,80.0
GeForce RTX 2060 Max-Q,65.0
GeForce RTX 2070,115.0
GeForce RTX 2070 Max-Q,80.0
GeForce RTX 2070 Super,115.0
GeForce RTX 2070 Super Max-Q,80.0
GeForce RTX 2080,150.0
GeForce RTX 2080 Max-Q,80.0
GeForce RTX 2080 Super,150.0
GeForce RTX 2080 Super Max-Q,80.0
GeForce RTX 3050,35.0
GeForce RTX 3050 Ti,35.0
GeForce RTX 3060,60.0
GeForce RTX 3070,80.0
GeForce RTX 3070 Ti,80.0
GeForce RTX 3080,80.0
GeForce RTX 3080 Ti Mobile,80.0
GeForce RTX 4050,35.0
GeForce RTX 4060,35.0
GeForce RTX 4070,35.0
GeForce RTX 4080,60.0
GeForce RTX 4090,80.0
Quadro FX 4000,142.0
Quadro FX 330,21.0
Quadro FX 1300,55.0
Quadro FX 540,35.0
Quadro FX 1400,75.0
Quadro FX 3400,101.0
Quadro FX 3450,83.0
Quadro FX 4400,110.0
Quadro FX 350,21.0
Quadro FX 550,30.0
Quadro FX 1500,65.0
Quadro FX 3500,80.0
Quadro FX 4500,109.0
Quadro FX 4500 SDI,116.0
Quadro FX 4500X2,145.0
Quadro FX 4500 rev. A2,105.0
Quadro FX 5500,96.0
Quadro FX 5500 SDI,104.0
Quadro FX 560,30.0
Quadro FX 46002,134.0
Quadro FX 4600 SDI2,154.0
Quadro FX 56002,171.0
Quadro FX 370,35.0
Quadro FX 370 LP,25.0
Quadro FX 470,30.0
Quadro FX 570,38.0
Quadro FX 1700,42.0
Quadro FX 3700,78.0
Quadro FX 4700X2,226.0
Quadro VX 200,75.0
Quadro FX 380,34.0
Quadro FX 380 LP,28.0
Quadro FX 580,40.0
Quadro FX 1800,59.0
Quadro FX 3800,108.0
Quadro FX 4800,150.0
Quadro FX 5800,189.0
Quadro CX,150.0
Quadro 400,32.0
Quadro 600,40.0
Quadro 2000,62.0
Quadro 4000,142.0
Quadro 5000,152.0
Quadro 6000,204.0
Quadro 7000,204.0
Quadro Plex 7000,600.0
Quadro 410,38.0
Quadro K600,41.0
Quadro K2000,51.0
Quadro K2000D,51.0
Quadro K4000,80.0
Quadro K5000,122.0
Quadro K6000,225.0
Quadro K420,41.0
Quadro K620,45.0
Quadro K1200,45.0
Quadro K2200,68.0
Quadro K4200,105.0
Quadro K5200,150.0
Quadro M2000,75.0
Quadro M4000,120.0
Quadro M5000,150.0
Quadro M6000,250.0
Quadro P400,30.0
Quadro P600,40.0
Quadro P620,40.0
Quadro P1000,47.0
Quadro P2000,75.0
Quadro P2200,75.0
Quadro P4000,105.0
Quadro P5000,180.0
Quadro P6000,250.0
Quadro GP100,235.0
Quadro GV100,250.0
NVIDIA T400 ,30.0
NVIDIA T600 ,40.0
NVIDIA T1000 ,50.0
Quadro RTX 4000,100.0
Quadro RTX 5000,125.0
Quadro RTX 6000,100.0
Quadro RTX 8000,100.0
RTX A2000 ,70.0
RTX A2000 ,70.0
RTX A4000 ,140.0
RTX A4500 ,200.0
RTX A5000 ,230.0
RTX A5500 ,230.0
RTX A6000 ,300.0
RTX 4000 SFF Ada Generation,70.0
RTX 4000 Ada Generation,130.0
RTX 4500 Ada Generation,210.0
RTX 5000 Ada Generation,250.0
RTX 6000 Ada Generation,300.0
NVS 280,13.0
NVS 285,18.0
NVS 290,21.0
NVS 295,23.0
NVS 300,17.0
NVS 310,19.0
NVS 315,19.0
NVS 400,18.0
NVS 420,40.0
NVS 440,31.0
NVS 450,35.0
NVS 510,35.0
NVS 810,68.0
Quadro FX 350M,15.0
Quadro FX 1500M,15.0
Quadro FX 2500M,15.0
Quadro FX 3500M,15.0
Quadro FX 360M,17.0
Quadro FX 560M,35.0
Quadro FX 1600M,50.0
Quadro FX 3600M,70.0
Quadro FX 370M,20.0
Quadro FX 570M,45.0
Quadro FX 770M,35.0
Quadro FX 1700M,50.0
Quadro FX 2700M,65.0
Quadro FX 3700M,75.0
Quadro FX 380M,25.0
Quadro FX 880M,35.0
Quadro FX 1800M,45.0
Quadro FX 2800M,75.0
Quadro FX 3800M,100.0
Quadro 500M,35.0
Quadro 1000M,45.0
Quadro 2000M,55.0
Quadro 3000M,75.0
Quadro 4000M,100.0
Quadro 5000M,100.0
Quadro 5010M,100.0
Quadro K500M,35.0
Quadro K1000M,45.0
Quadro K2000M,55.0
Quadro K3000M,75.0
Quadro K4000M,100.0
Quadro K5000M,100.0
Quadro K510M,30.0
Quadro K610M,30.0
Quadro K1100M,45.0
Quadro K2100M,55.0
Quadro K3100M,75.0
Quadro K4100M,100.0
Quadro K5100M,100.0
Quadro K2200M,65.0
Quadro M500M,25.0
Quadro M600M,30.0
Quadro M1000M,40.0
Quadro M2000M,55.0
Quadro M3000M,75.0
Quadro M4000M,100.0
Quadro M5000M,100.0
Quadro M520,25.0
Quadro M620,30.0
Quadro M1200,45.0
Quadro M2200,55.0
Quadro M5500,150.0
Quadro P500,18.0
Quadro P600,25.0
